22 65 3
1 2 6 5
1 3 8 4
1 4 9 10
1 5 1 4
1 6 2 4
2 7 7 10
2 8 3 3
3 7 10 4
3 8 8 3
3 9 3 5
4 8 9 1
4 9 9 4
4 10 2 2
5 9 3 2
5 10 3 4
5 11 7 5
6 10 7 7
6 11 10 1
7 8 8 8
7 12 1 3
7 13 10 3
8 7 2 5
8 9 10 9
8 12 8 1
8 13 7 7
8 14 10 1
9 8 5 3
9 10 1 10
9 13 8 4
9 14 10 5
9 15 4 9
10 9 3 2
10 11 8 8
10 14 2 8
10 15 10 10
10 16 8 5
11 10 10 7
11 15 9 5
11 16 10 3
12 13 3 7
12 17 2 5
12 18 7 4
13 12 6 6
13 14 8 8
13 17 9 9
13 18 10 5
13 19 8 7
14 13 9 9
14 15 1 6
14 18 10 2
14 19 8 10
14 20 4 10
15 14 9 9
15 16 4 9
15 19 3 9
15 20 10 4
15 21 7 10
16 15 9 5
16 20 6 10
16 21 8 7
17 22 8 3
18 22 6 7
19 22 6 9
20 22 6 2
21 22 4 7
