102 416 4
1 2 10 1
1 3 2 3
1 4 3 9
1 5 2 1
1 6 9 9
1 7 10 7
1 8 4 9
1 9 9 4
1 10 4 5
1 11 10 5
2 12 8 7
2 13 1 9
3 12 2 2
3 13 5 7
3 14 5 2
4 13 9 3
4 14 8 3
4 15 5 6
5 14 6 3
5 15 2 7
5 16 5 2
6 15 1 2
6 16 9 2
6 17 2 10
7 16 6 7
7 17 3 9
7 18 3 8
8 17 3 10
8 18 8 2
8 19 1 10
9 18 3 1
9 19 1 2
9 20 10 1
10 19 1 4
10 20 2 9
10 21 5 6
11 20 5 4
11 21 7 9
12 13 9 7
12 22 10 8
12 23 3 9
13 12 9 5
13 14 8 8
13 22 6 1
13 23 5 9
13 24 6 8
14 13 3 1
14 15 3 1
14 23 1 8
14 24 3 3
14 25 8 6
15 14 9 9
15 16 4 10
15 24 5 9
15 25 2 7
15 26 10 7
16 15 10 1
16 17 1 4
16 25 1 5
16 26 10 5
16 27 8 9
17 16 10 3
17 18 5 2
17 26 10 9
17 27 6 10
17 28 2 10
18 17 10 4
18 19 9 1
18 27 2 8
18 28 6 10
18 29 1 1
19 18 3 3
19 20 5 7
19 28 10 2
19 29 8 3
19 30 9 2
20 19 4 6
20 21 2 8
20 29 4 3
20 30 8 2
20 31 10 6
21 20 3 9
21 30 8 3
21 31 4 9
22 23 9 7
22 32 7 7
22 33 3 3
23 22 8 9
23 24 8 7
23 32 4 8
23 33 4 2
23 34 3 4
24 23 5 1
24 25 2 2
24 33 3 6
24 34 1 4
24 35 3 2
25 24 3 8
25 26 9 2
25 34 2 4
25 35 9 2
25 36 3 7
26 25 2 4
26 27 1 10
26 35 2 8
26 36 6 6
26 37 9 7
27 26 2 3
27 28 6 7
27 36 6 4
27 37 5 10
27 38 9 10
28 27 2 6
28 29 10 10
28 37 2 3
28 38 3 7
28 39 9 5
29 28 8 4
29 30 9 2
29 38 8 10
29 39 7 4
29 40 1 9
30 29 8 1
30 31 1 3
30 39 9 8
30 40 2 4
30 41 6 9
31 30 9 9
31 40 7 8
31 41 6 8
32 33 4 8
32 42 7 10
32 43 5 7
33 32 1 7
33 34 2 5
33 42 9 1
33 43 9 7
33 44 8 9
34 33 7 8
34 35 7 3
34 43 9 4
34 44 1 8
34 45 5 6
35 34 3 1
35 36 3 10
35 44 5 9
35 45 6 9
35 46 10 10
36 35 2 8
36 37 8 10
36 45 7 10
36 46 4 9
36 47 6 9
37 36 2 8
37 38 5 9
37 46 5 3
37 47 5 8
37 48 3 7
38 37 6 5
38 39 8 9
38 47 1 8
38 48 8 9
38 49 3 5
39 38 5 7
39 40 8 7
39 48 1 2
39 49 2 3
39 50 1 8
40 39 10 9
40 41 4 4
40 49 6 10
40 50 1 8
40 51 3 1
41 40 7 3
41 50 2 3
41 51 5 6
42 43 1 3
42 52 3 6
42 53 4 8
43 42 6 8
43 44 4 2
43 52 9 3
43 53 3 8
43 54 6 2
44 43 9 4
44 45 10 9
44 53 3 10
44 54 10 6
44 55 1 2
45 44 6 2
45 46 6 10
45 54 9 8
45 55 10 5
45 56 10 7
46 45 3 2
46 47 2 9
46 55 7 6
46 56 1 7
46 57 10 3
47 46 2 9
47 48 9 8
47 56 3 2
47 57 10 7
47 58 2 4
48 47 5 8
48 49 8 5
48 57 5 7
48 58 5 8
48 59 5 10
49 48 5 9
49 50 4 2
49 58 8 7
49 59 4 10
49 60 6 1
50 49 3 7
50 51 10 10
50 59 8 3
50 60 2 5
50 61 6 9
51 50 2 8
51 60 1 10
51 61 3 1
52 53 3 3
52 62 4 9
52 63 3 7
53 52 3 2
53 54 6 10
53 62 6 9
53 63 5 1
53 64 4 6
54 53 10 2
54 55 7 1
54 63 9 1
54 64 3 4
54 65 1 4
55 54 1 9
55 56 3 9
55 64 7 6
55 65 6 9
55 66 1 9
56 55 6 6
56 57 6 5
56 65 5 7
56 66 3 6
56 67 1 3
57 56 9 1
57 58 3 7
57 66 3 6
57 67 5 4
57 68 7 3
58 57 2 7
58 59 1 2
58 67 4 5
58 68 4 6
58 69 7 4
59 58 9 5
59 60 7 3
59 68 7 10
59 69 2 3
59 70 6 7
60 59 9 3
60 61 9 1
60 69 9 5
60 70 2 6
60 71 8 9
61 60 1 10
61 70 1 6
61 71 1 6
62 63 9 9
62 72 5 6
62 73 5 2
63 62 4 1
63 64 2 3
63 72 3 1
63 73 3 3
63 74 6 7
64 63 3 2
64 65 10 6
64 73 5 10
64 74 1 3
64 75 10 4
65 64 4 7
65 66 7 6
65 74 8 7
65 75 9 6
65 76 6 7
66 65 3 6
66 67 10 1
66 75 2 8
66 76 3 2
66 77 7 8
67 66 6 7
67 68 3 4
67 76 9 6
67 77 6 5
67 78 5 10
68 67 2 6
68 69 5 4
68 77 3 2
68 78 3 1
68 79 9 7
69 68 9 9
69 70 4 8
69 78 4 3
69 79 7 10
69 80 3 6
70 69 6 2
70 71 3 6
70 79 4 1
70 80 3 4
70 81 5 7
71 70 4 8
71 80 5 8
71 81 7 7
72 73 5 7
72 82 1 4
72 83 3 8
73 72 5 4
73 74 9 1
73 82 10 4
73 83 2 4
73 84 5 8
74 73 10 5
74 75 10 3
74 83 5 10
74 84 10 6
74 85 8 1
75 74 2 6
75 76 3 10
75 84 8 8
75 85 7 2
75 86 2 1
76 75 8 1
76 77 5 8
76 85 10 10
76 86 6 5
76 87 8 5
77 76 4 9
77 78 8 6
77 86 6 8
77 87 1 6
77 88 1 6
78 77 10 7
