22 65 3
1 2 9 651
1 3 3 651
1 4 2 651
1 5 2 651
1 6 7 651
2 7 8 651
2 8 5 651
3 7 4 651
3 8 5 651
3 9 7 651
4 8 2 651
4 9 7 651
4 10 8 651
5 9 4 651
5 10 7 651
5 11 5 651
6 10 5 651
6 11 3 651
7 8 2 651
7 12 7 651
7 13 5 651
8 7 6 651
8 9 4 651
8 12 7 651
8 13 4 651
8 14 5 651
9 8 10 651
9 10 5 651
9 13 3 651
9 14 2 651
9 15 10 651
10 9 4 651
10 11 8 651
10 14 9 651
10 15 2 651
10 16 9 651
11 10 4 651
11 15 2 651
11 16 3 651
12 13 8 651
12 17 8 651
12 18 2 651
13 12 4 651
13 14 10 651
13 17 5 651
13 18 9 651
13 19 9 651
14 13 10 651
14 15 8 651
14 18 2 651
14 19 5 651
14 20 7 651
15 14 10 651
15 16 9 651
15 19 1 651
15 20 10 651
15 21 4 651
16 15 3 651
16 20 10 651
16 21 5 651
17 22 2 651
18 22 5 651
19 22 9 651
20 22 9 651
21 22 7 651
